identityKey,versionKey,name,edition,level,school,castingTime,range,components,duration,concentration,ritual,attackModes,saveAbilities,effectReliabilityCategory,spellLists,sourceBooks,sourcePage,sourceSlug
blade-barrier,2024:blade-barrier,Blade Barrier,2024,-1,Evocation,Action,90 feet,"V, S","C, up to 10 minutes",false,false,,dexterity,saving_throw,Cleric,Player's Handbook (2024),,blade-barrier
bless,2024:bless,Bless,2024,-1,Enchantment,Action,30 feet,"V, S, M(C)","C, up to 1 minute",false,false,,,fixed_effect,Cleric;Paladin,Player's Handbook (2024),,bless
blight,2024:blight,Blight,2024,-1,Necromancy,Action,30 feet,"V, S",Instantaneous,false,false,,constitution,saving_throw,Druid;Sorcerer;Warlock;Wizard,Player's Handbook (2024),,blight
blinding-smite,2024:blinding-smite,Blinding Smite,2024,-1,Evocation,Bonus Action,Self,V,1 minute,false,false,,constitution,saving_throw,Paladin,Player's Handbook (2024),,blinding-smite
blindness-deafness,2024:blindness-deafness,Blindness/Deafness,2024,-1,Transmutation,Action,120 feet,V,1 minute,false,false,,constitution,saving_throw,Bard;Cleric;Sorcerer;Wizard,Player's Handbook (2024),,blindness-deafness
blink,2024:blink,Blink,2024,-1,Transmutation,Action,Self,"V, S",1 minute,false,false,,,fixed_effect,Artificer;Sorcerer;Wizard,Player's Handbook (2024),,blink
blur,2024:blur,Blur,2024,-1,Illusion,Action,Self,V,"C, up to 1 minute",false,false,,,fixed_effect,Artificer;Sorcerer;Wizard,Player's Handbook (2024),,blur
burning-hands,2024:burning-hands,Burning Hands,2024,-1,Evocation,Action,Self,"V, S",Instantaneous,false,false,,dexterity,saving_throw,Sorcerer;Wizard,Player's Handbook (2024),,burning-hands
call-lightning,2024:call-lightning,Call Lightning,2024,-1,Conjuration,Action,120 feet,"V, S","C, up to 10 minutes",false,false,,dexterity,saving_throw,Druid,Player's Handbook (2024),,call-lightning
calm-emotions,2024:calm-emotions,Calm Emotions,2024,-1,Enchantment,Action,60 feet,"V, S","C, up to 1 minute",false,false,,charisma,saving_throw,Bard;Cleric,Player's Handbook (2024),,calm-emotions
chain-lightning,2024:chain-lightning,Chain Lightning,2024,-1,Evocation,Action,150 feet,"V, S, M",Instantaneous,false,false,,dexterity,saving_throw,Sorcerer;Wizard,Player's Handbook (2024),,chain-lightning
charm-monster,2024:charm-monster,Charm Monster,2024,-1,Enchantment,Action,30 feet,"V, S",1 hour,false,false,,wisdom,saving_throw,Bard;Druid;Sorcerer;Warlock;Wizard,Player's Handbook (2024),,charm-monster
charm-person,2024:charm-person,Charm Person,2024,-1,Enchantment,Action,30 feet,"V, S",1 hour,false,false,,wisdom,saving_throw,Bard;Druid;Sorcerer;Warlock;Wizard,Player's Handbook (2024),,charm-person
chromatic-orb,2024:chromatic-orb,Chromatic Orb,2024,-1,Evocation,Action,90 feet,"V, S, M(C)",Instantaneous,false,false,ranged_spell,,attack_roll,Sorcerer;Wizard,Player's Handbook (2024),,chromatic-orb
circle-of-death,2024:circle-of-death,Circle Of Death,2024,-1,Necromancy,Action,150 feet,"V, S, M(C)",Instantaneous,false,false,,constitution,saving_throw,Sorcerer;Warlock;Wizard,Player's Handbook (2024),,circle-of-death
circle-of-power,2024:circle-of-power,Circle Of Power,2024,-1,Abjuration,Action,Self,V,"C, up to 10 minutes",false,false,,,fixed_effect,Artificer;Cleric;Paladin;Wizard,Player's Handbook (2024),,circle-of-power
clairvoyance,2024:clairvoyance,Clairvoyance,2024,-1,Divination,10 minutes,1 mile,"V, S, M(C)","C, up to 10 minutes",false,false,,,fixed_effect,Bard;Cleric;Sorcerer;Wizard,Player's Handbook (2024),,clairvoyance
clone,2024:clone,Clone,2024,-1,Necromancy,1 hour,Touch,"V, S, M(C*)",Instantaneous,false,false,,,fixed_effect,Wizard,Player's Handbook (2024),,clone
cloud-of-daggers,2024:cloud-of-daggers,Cloud Of Daggers,2024,-1,Conjuration,Action,60 feet,"V, S, M","C, up to 1 minute",false,false,,,fixed_effect,Bard;Sorcerer;Warlock;Wizard,Player's Handbook (2024),,cloud-of-daggers
cloudkill,2024:cloudkill,Cloudkill,2024,-1,Conjuration,Action,120 feet,"V, S","C, up to 10 minutes",false,false,,constitution,saving_throw,Sorcerer;Wizard,Player's Handbook (2024),,cloudkill
color-spray,2024:color-spray,Color Spray,2024,-1,Illusion,Action,Self,"V, S, M",Instantaneous,false,false,,constitution,saving_throw,Bard;Sorcerer;Wizard,Player's Handbook (2024),,color-spray
command,2024:command,Command,2024,-1,Enchantment,Action,60 feet,V,Instantaneous,false,false,,wisdom,saving_throw,Bard;Cleric;Paladin,Player's Handbook (2024),,command
commune,2024:commune,Commune,2024,-1,Divination,1 minute or R,Self,"V, S, M",1 minute,false,false,,,fixed_effect,Cleric,Player's Handbook (2024),,commune
commune-with-nature,2024:commune-with-nature,Commune With Nature,2024,-1,Divination,1 minute or R,Self,"V, S",Instantaneous,false,false,,,fixed_effect,Druid;Ranger,Player's Handbook (2024),,commune-with-nature
compelled-duel,2024:compelled-duel,Compelled Duel,2024,-1,Enchantment,Bonus Action,30 feet,V,"C, up to 1 minute",false,false,,wisdom,saving_throw,Paladin,Player's Handbook (2024),,compelled-duel
comprehend-languages,2024:comprehend-languages,Comprehend Languages,2024,-1,Divination,Action or R,Self,"V, S, M",1 hour,false,false,,,fixed_effect,Bard;Sorcerer;Warlock;Wizard,Player's Handbook (2024),,comprehend-languages
compulsion,2024:compulsion,Compulsion,2024,-1,Enchantment,Action,30 feet,"V, S","C, up to 1 minute",false,false,,wisdom,saving_throw,Bard,Player's Handbook (2024),,compulsion
cone-of-cold,2024:cone-of-cold,Cone Of Cold,2024,-1,Evocation,Action,Self,"V, S, M",Instantaneous,false,false,,constitution,saving_throw,Druid;Sorcerer;Wizard,Player's Handbook (2024),,cone-of-cold
confusion,2024:confusion,Confusion,2024,-1,Enchantment,Action,90 feet,"V, S, M","C, up to 1 minute",false,false,,wisdom,saving_throw,Bard;Druid;Sorcerer;Wizard,Player's Handbook (2024),,confusion
conjure-animals,2024:conjure-animals,Conjure Animals,2024,-1,Conjuration,Action,60 feet,"V, S","C, up to 10 minutes",false,false,,strength;dexterity,saving_throw,Druid;Ranger,Player's Handbook (2024),,conjure-animals
conjure-barrage,2024:conjure-barrage,Conjure Barrage,2024,-1,Conjuration,Action,Self,"V, S, M(C)",Instantaneous,false,false,,dexterity,saving_throw,Ranger,Player's Handbook (2024),,conjure-barrage
conjure-celestial,2024:conjure-celestial,Conjure Celestial,2024,-1,Conjuration,Action,90 feet,"V, S","C, up to 10 minutes",false,false,,dexterity,saving_throw,Cleric,Player's Handbook (2024),,conjure-celestial
conjure-elemental,2024:conjure-elemental,Conjure Elemental,2024,-1,Conjuration,Action,60 feet,"V, S","C, up to 10 minutes",false,false,,dexterity,saving_throw,Druid;Wizard,Player's Handbook (2024),,conjure-elemental
conjure-fey,2024:conjure-fey,Conjure Fey,2024,-1,Conjuration,Action,60 feet,"V, S","C, up to 10 minutes",false,false,melee_spell,,attack_roll,Druid,Player's Handbook (2024),,conjure-fey
conjure-minor-elementals,2024:conjure-minor-elementals,Conjure Minor Elementals,2024,-1,Conjuration,Action,Self,"V, S","C, up to 10 minutes",false,false,,,fixed_effect,Druid;Wizard,Player's Handbook (2024),,conjure-minor-elementals
conjure-volley,2024:conjure-volley,Conjure Volley,2024,-1,Conjuration,Action,150 feet,"V, S, M(C)",Instantaneous,false,false,,dexterity,saving_throw,Ranger,Player's Handbook (2024),,conjure-volley
conjure-woodland-beings,2024:conjure-woodland-beings,Conjure Woodland Beings,2024,-1,Conjuration,Action,Self,"V, S","C, up to 10 minutes",false,false,,wisdom,saving_throw,Druid;Ranger,Player's Handbook (2024),,conjure-woodland-beings
contact-other-plane,2024:contact-other-plane,Contact Other Plane,2024,-1,Divination,1 minute or R,Self,V,1 minute,false,false,,intelligence,saving_throw,Warlock;Wizard,Player's Handbook (2024),,contact-other-plane
contagion,2024:contagion,Contagion,2024,-1,Necromancy,Action,Touch,"V, S",7 days,false,false,,constitution,saving_throw,Cleric;Druid,Player's Handbook (2024),,contagion
contingency,2024:contingency,Contingency,2024,-1,Abjuration,10 minutes,Self,"V, S, M(C)",10 days,false,false,,,fixed_effect,Wizard,Player's Handbook (2024),,contingency
continual-flame,2024:continual-flame,Continual Flame,2024,-1,Evocation,Action,Touch,"V, S, M(C*)",Until dispelled,false,false,,,fixed_effect,Artificer;Cleric;Druid;Wizard,Player's Handbook (2024),,continual-flame
control-water,2024:control-water,Control Water,2024,-1,Transmutation,Action,300 feet,"V, S, M","C, up to 10 minutes",false,false,,strength,saving_throw,Cleric;Druid;Wizard,Player's Handbook (2024),,control-water
control-weather,2024:control-weather,Control Weather,2024,-1,Transmutation,10 minutes,Self,"V, S, M","C, up to 8 hours",false,false,,,fixed_effect,Cleric;Druid;Wizard,Player's Handbook (2024),,control-weather
cordon-of-arrows,2024:cordon-of-arrows,Cordon Of Arrows,2024,-1,Transmutation,Action,Touch,"V, S, M",8 hours,false,false,,dexterity,saving_throw,Ranger,Player's Handbook (2024),,cordon-of-arrows
counterspell,2024:counterspell,Counterspell,2024,-1,Abjuration,Reaction,60 feet,S,Instantaneous,false,false,,constitution,saving_throw,Sorcerer;Warlock;Wizard,Player's Handbook (2024),,counterspell
create-food-and-water,2024:create-food-and-water,Create Food And Water,2024,-1,Conjuration,Action,30 feet,"V, S",Instantaneous,false,false,,,fixed_effect,Artificer;Cleric;Paladin,Player's Handbook (2024),,create-food-and-water
create-or-destroy-water,2024:create-or-destroy-water,Create or Destroy Water,2024,-1,Transmutation,Action,30 feet,"V, S, M",Instantaneous,false,false,,,fixed_effect,Cleric;Druid,Player's Handbook (2024),,create-or-destroy-water
create-undead,2024:create-undead,Create Undead,2024,-1,Necromancy,1 minute,10 feet,"V, S, M(C)",Instantaneous,false,false,,,fixed_effect,Cleric;Warlock;Wizard,Player's Handbook (2024),,create-undead
creation,2024:creation,Creation,2024,-1,Illusion,1 minute,30 feet,"V, S, M",Special,false,false,,,fixed_effect,Artificer;Sorcerer;Wizard,Player's Handbook (2024),,creation
crown-of-madness,2024:crown-of-madness,Crown Of Madness,2024,-1,Enchantment,Action,120 feet,"V, S","C, up to 1 minute",false,false,,wisdom,saving_throw,Bard;Sorcerer;Warlock;Wizard,Player's Handbook (2024),,crown-of-madness
crusader-s-mantle,2024:crusader-s-mantle,Crusader's Mantle,2024,-1,Evocation,Action,Self,V,"C, up to 1 minute",false,false,,,fixed_effect,Paladin,Player's Handbook (2024),,crusader-s-mantle
cure-wounds,2024:cure-wounds,Cure Wounds,2024,-1,Abjuration,Action,Touch,"V, S",Instantaneous,false,false,,,modifier_scaled,Artificer;Bard;Cleric;Druid;Paladin;Ranger,Player's Handbook (2024),,cure-wounds
darkness,2024:darkness,Darkness,2024,-1,Evocation,Action,60 feet,"V, M","C, up to 10 minutes",false,false,,,fixed_effect,Sorcerer;Warlock;Wizard,Player's Handbook (2024),,darkness
darkvision,2024:darkvision,Darkvision,2024,-1,Transmutation,Action,Touch,"V, S, M",8 hours,false,false,,,fixed_effect,Artificer;Druid;Ranger;Sorcerer;Wizard,Player's Handbook (2024),,darkvision
daylight,2024:daylight,Daylight,2024,-1,Evocation,Action,60 feet,"V, S",1 hour,false,false,,,fixed_effect,Cleric;Druid;Paladin;Ranger;Sorcerer,Player's Handbook (2024),,daylight
death-ward,2024:death-ward,Death Ward,2024,-1,Abjuration,Action,Touch,"V, S",8 hours,false,false,,,fixed_effect,Cleric;Paladin,Player's Handbook (2024),,death-ward
delayed-blast-fireball,2024:delayed-blast-fireball,Delayed Blast Fireball,2024,-1,Evocation,Action,150 feet,"V, S, M","C, up to 1 minute",false,false,,dexterity,saving_throw,Sorcerer;Wizard,Player's Handbook (2024),,delayed-blast-fireball
demiplane,2024:demiplane,Demiplane,2024,-1,Conjuration,Action,60 feet,S,1 hour,false,false,,,fixed_effect,Sorcerer;Warlock;Wizard,Player's Handbook (2024),,demiplane
destructive-wave,2024:destructive-wave,Destructive Wave,2024,-1,Evocation,Action,Self,V,Instantaneous,false,false,,constitution,saving_throw,Paladin,Player's Handbook (2024),,destructive-wave
detect-evil-and-good,2024:detect-evil-and-good,Detect Evil and Good,2024,-1,Divination,Action,Self,"V, S","C, up to 10 minutes",false,false,,,fixed_effect,Cleric;Paladin,Player's Handbook (2024),,detect-evil-and-good
detect-magic,2024:detect-magic,Detect Magic,2024,-1,Divination,Action or R,Self,"V, S","C, up to 10 minutes",false,false,,,fixed_effect,Artificer;Bard;Cleric;Druid;Paladin;Ranger;Sorcerer;Warlock;Wizard,Player's Handbook (2024),,detect-magic
detect-poison-and-disease,2024:detect-poison-and-disease,Detect Poison and Disease,2024,-1,Divination,Action or R,Self,"V, S, M","C, up to 10 minutes",false,false,,,fixed_effect,Cleric;Druid;Paladin;Ranger,Player's Handbook (2024),,detect-poison-and-disease
detect-thoughts,2024:detect-thoughts,Detect Thoughts,2024,-1,Divination,Action,Self,"V, S, M","C, up to 1 minute",false,false,,wisdom,saving_throw,Bard;Sorcerer;Wizard,Player's Handbook (2024),,detect-thoughts
dimension-door,2024:dimension-door,Dimension Door,2024,-1,Conjuration,Action,500 feet,V,Instantaneous,false,false,,,fixed_effect,Bard;Sorcerer;Warlock;Wizard,Player's Handbook (2024),,dimension-door
disguise-self,2024:disguise-self,Disguise Self,2024,-1,Illusion,Action,Self,"V, S",1 hour,false,false,,,fixed_effect,Artificer;Bard;Sorcerer;Wizard,Player's Handbook (2024),,disguise-self
disintegrate,2024:disintegrate,Disintegrate,2024,-1,Transmutation,Action,60 feet,"V, S, M",Instantaneous,false,false,,dexterity,saving_throw,Sorcerer;Wizard,Player's Handbook (2024),,disintegrate
dispel-evil-and-good,2024:dispel-evil-and-good,Dispel Evil and Good,2024,-1,Abjuration,Action,Self,"V, S, M","C, up to 1 minute",false,false,,charisma,saving_throw,Cleric;Paladin,Player's Handbook (2024),,dispel-evil-and-good
dispel-magic,2024:dispel-magic,Dispel Magic,2024,-1,Abjuration,Action,120 feet,"V, S",Instantaneous,false,false,,,fixed_effect,Artificer;Bard;Cleric;Druid;Paladin;Ranger;Sorcerer;Warlock;Wizard,Player's Handbook (2024),,dispel-magic
dissonant-whispers,2024:dissonant-whispers,Dissonant Whispers,2024,-1,Enchantment,Action,60 feet,V,Instantaneous,false,false,,wisdom,saving_throw,Bard,Player's Handbook (2024),,dissonant-whispers
divination,2024:divination,Divination,2024,-1,Divination,Action or R,Self,"V, S, M(C*)",Instantaneous,false,false,,,fixed_effect,Cleric;Druid;Wizard,Player's Handbook (2024),,divination
divine-favor,2024:divine-favor,Divine Favor,2024,-1,Transmutation,Bonus Action,Self,"V, S",1 minute,false,false,,,fixed_effect,Paladin,Player's Handbook (2024),,divine-favor
divine-smite,2024:divine-smite,Divine Smite,2024,-1,Evocation,Bonus Action(*),Self,V,Instantaneous,false,false,,,fixed_effect,Paladin,Player's Handbook (2024),,divine-smite
divine-word,2024:divine-word,Divine Word,2024,-1,Evocation,Bonus Action,30 feet,V,Instantaneous,false,false,,charisma,saving_throw,Cleric,Player's Handbook (2024),,divine-word
dominate-beast,2024:dominate-beast,Dominate Beast,2024,-1,Enchantment,Action,60 feet,"V, S","C, up to 1 minute",false,false,,wisdom,saving_throw,Druid;Ranger;Sorcerer,Player's Handbook (2024),,dominate-beast
dominate-monster,2024:dominate-monster,Dominate Monster,2024,-1,Enchantment,Action,60 feet,"V, S","C, up to 1 hour",false,false,,wisdom,saving_throw,Bard;Sorcerer;Warlock;Wizard,Player's Handbook (2024),,dominate-monster
dominate-person,2024:dominate-person,Dominate Person,2024,-1,Enchantment,Action,60 feet,"V, S","C, up to 1 minute",false,false,,wisdom,saving_throw,Bard;Sorcerer;Wizard,Player's Handbook (2024),,dominate-person
dragon-s-breath,2024:dragon-s-breath,Dragon's Breath,2024,-1,Transmutation,Bonus Action,Touch,"V, S, M","C, up to 1 minute",false,false,,dexterity,saving_throw,Artificer;Sorcerer;Wizard,Player's Handbook (2024),,dragon-s-breath
drawmij-s-instant-summons,2024:drawmij-s-instant-summons,Drawmij's Instant Summons,2024,-1,Conjuration,1 minute or R,Touch,"V, S, M(C)",Until dispelled,false,false,,,fixed_effect,Wizard,Player's Handbook (2024),,drawmij-s-instant-summons
dream,2024:dream,Dream,2024,-1,Illusion,1 minute,Special,"V, S, M",8 hours,false,false,,wisdom,saving_throw,Bard;Warlock;Wizard,Player's Handbook (2024),,dream
earthquake,2024:earthquake,Earthquake,2024,-1,Transmutation,Action,500 feet,"V, S, M","C, up to 1 minute",false,false,,dexterity,saving_throw,Cleric;Druid;Sorcerer,Player's Handbook (2024),,earthquake
elemental-weapon,2024:elemental-weapon,Elemental Weapon,2024,-1,Transmutation,Action,Touch,"V, S","C, up to 1 hour",false,false,,,fixed_effect,Artificer;Druid;Paladin;Ranger,Player's Handbook (2024),,elemental-weapon
enhance-ability,2024:enhance-ability,Enhance Ability,2024,-1,Transmutation,Action,Touch,"V, S, M","C, up to 1 hour",false,false,,,fixed_effect,Artificer;Bard;Cleric;Druid;Ranger;Sorcerer;Wizard,Player's Handbook (2024),,enhance-ability
enlarge-reduce,2024:enlarge-reduce,Enlarge/Reduce,2024,-1,Transmutation,Action,30 feet,"V, S, M","C, up to 1 minute",false,false,,constitution;strength,saving_throw,Artificer;Bard;Druid;Sorcerer;Wizard,Player's Handbook (2024),,enlarge-reduce
ensnaring-strike,2024:ensnaring-strike,Ensnaring Strike,2024,-1,Conjuration,Bonus Action(*),Self,V,"C, up to 1 minute",false,false,,strength,saving_throw,Ranger,Player's Handbook (2024),,ensnaring-strike
entangle,2024:entangle,Entangle,2024,-1,Conjuration,Action,90 feet,"V, S","C, up to 1 minute",false,false,,strength,saving_throw,Druid;Ranger,Player's Handbook (2024),,entangle
enthrall,2024:enthrall,Enthrall,2024,-1,Enchantment,Action,60 feet,"V, S","C, up to 1 minute",false,false,,wisdom,saving_throw,Bard;Warlock,Player's Handbook (2024),,enthrall
etherealness,2024:etherealness,Etherealness,2024,-1,Conjuration,Action,Self,"V, S",Up to 8 hours,false,false,,,fixed_effect,Bard;Cleric;Sorcerer;Warlock;Wizard,Player's Handbook (2024),,etherealness
evard-s-black-tentacles,2024:evard-s-black-tentacles,Evard's Black Tentacles,2024,-1,Conjuration,Action,90 feet,"V, S, M","C, up to 1 minute",false,false,,strength,saving_throw,Wizard,Player's Handbook (2024),,evard-s-black-tentacles
expeditious-retreat,2024:expeditious-retreat,Expeditious Retreat,2024,-1,Transmutation,Bonus Action,Self,"V, S",C up to 10 minutes,false,false,,,fixed_effect,Artificer;Sorcerer;Warlock;Wizard,Player's Handbook (2024),,expeditious-retreat
eyebite,2024:eyebite,Eyebite,2024,-1,Necromancy,Action,Self,"V, S","C, up to 1 minute",false,false,,wisdom,saving_throw,Bard;Sorcerer;Warlock;Wizard,Player's Handbook (2024),,eyebite
fabricate,2024:fabricate,Fabricate,2024,-1,Transmutation,10 minutes,120 feet,"V, S",Instantaneous,false,false,,,fixed_effect,Artificer;Wizard,Player's Handbook (2024),,fabricate
faerie-fire,2024:faerie-fire,Faerie Fire,2024,-1,Evocation,Action,60 feet,V,"C, up to 1 minute",false,false,,dexterity,saving_throw,Artificer;Bard;Druid,Player's Handbook (2024),,faerie-fire
false-life,2024:false-life,False Life,2024,-1,Necromancy,Action,Self,"V, S, M",Instantaneous,false,false,,,fixed_effect,Artificer;Sorcerer;Wizard,Player's Handbook (2024),,false-life
fear,2024:fear,Fear,2024,-1,Illusion,Action,Self,"V, S, M","C, up to 1 minute",false,false,,wisdom,saving_throw,Bard;Sorcerer;Warlock;Wizard,Player's Handbook (2024),,fear
feather-fall,2024:feather-fall,Feather Fall,2024,-1,Transmutation,Reaction(*),60 feet,"V, M",1 minute,false,false,,,fixed_effect,Artificer;Bard;Sorcerer;Wizard,Player's Handbook (2024),,feather-fall
feign-death,2024:feign-death,Feign Death,2024,-1,Necromancy,Action or R,Touch,"V, S, M",1 hour,false,false,,,fixed_effect,Bard;Cleric;Druid;Wizard,Player's Handbook (2024),,feign-death
find-familiar,2024:find-familiar,Find Familiar,2024,-1,Conjuration,1 hour or R,10 feet,"V, S, M(C*)",Instantaneous,false,false,,,fixed_effect,Wizard,Player's Handbook (2024),,find-familiar
find-steed,2024:find-steed,Find Steed,2024,-1,Conjuration,Action,30 feet,"V, S",Instantaneous,false,false,,,fixed_effect,Paladin,Player's Handbook (2024),,find-steed
find-the-path,2024:find-the-path,Find the Path,2024,-1,Divination,1 minute,Self,"V, S, M(C*)","C, up to 1 day",false,false,,,fixed_effect,Bard;Cleric;Druid,Player's Handbook (2024),,find-the-path
find-traps,2024:find-traps,Find Traps,2024,-1,Divination,Action,120 feet,"V, S",Instantaneous,false,false,,,fixed_effect,Cleric;Druid;Ranger,Player's Handbook (2024),,find-traps
finger-of-death,2024:finger-of-death,Finger of Death,2024,-1,Necromancy,Action,60 feet,"V, S",Instantaneous,false,false,,constitution,saving_throw,Sorcerer;Warlock;Wizard,Player's Handbook (2024),,finger-of-death
