identityKey,versionKey,name,edition,level,school,castingTime,range,components,duration,concentration,ritual,attackModes,saveAbilities,effectReliabilityCategory,spellLists,sourceBooks,sourcePage,sourceSlug
earthbind,2014:earthbind,Earthbind,2014,2,Transmutation,1 Action,300 feet,V,"Concentration, up to 1 minute",true,false,,strength,saving_throw,Druid;Sorcerer;Warlock;Wizard,Xanathar's Guide to Everything,,earthbind
healing-spirit,2014:healing-spirit,Healing Spirit,2014,2,Conjuration,1 Bonus Action,60 feet,"V, S","Concentration, up to 1 minute",true,false,,,modifier_scaled,Druid;Ranger,Xanathar's Guide to Everything,,healing-spirit
maximillian-s-earthen-grasp,2014:maximillian-s-earthen-grasp,Maximillian's Earthen Grasp,2014,2,Transmutation,1 Action,30 feet,"V, S, M","Concentration, up to 1 minute",true,false,,strength,saving_throw,Sorcerer;Wizard,Xanathar's Guide to Everything,,maximillians-earthen-grasp
mind-spike,2014:mind-spike,Mind Spike,2014,2,Divination,1 Action,60 feet,S,"Concentration, up to 1 hour",true,false,,wisdom,saving_throw,Sorcerer;Warlock;Wizard,Xanathar's Guide to Everything,,mind-spike
pyrotechnics,2014:pyrotechnics,Pyrotechnics,2014,2,Transmutation,1 Action,60 feet,"V, S",Instantaneous,false,false,,constitution,saving_throw,Bard;Sorcerer;Wizard;Artificer,Xanathar's Guide to Everything,,pyrotechnics
shadow-blade,2014:shadow-blade,Shadow Blade,2014,2,Illusion,1 Bonus Action,Self,"V, S","Concentration, up to 1 minute",true,false,,,fixed_effect,Sorcerer;Warlock;Wizard,Xanathar's Guide to Everything,,shadow-blade
skywrite,2014:skywrite,Skywrite,2014,2,Transmutation,1 Action R,Sight,"V, S","Concentration, up to 1 day",true,true,,,ritual_utility,Bard;Druid;Wizard;Artificer,Xanathar's Guide to Everything,,skywrite
snilloc-s-snowball-swarm,2014:snilloc-s-snowball-swarm,Snilloc's Snowball Swarm,2014,2,Evocation,1 Action,90 feet,"V, S, M",Instantaneous,false,false,,dexterity,saving_throw,Sorcerer;Wizard,Xanathar's Guide to Everything,,snillocs-snowball-swarm
warding-wind,2014:warding-wind,Warding Wind,2014,2,Evocation,1 Action,Self,V,"Concentration, up to 10 minutes",true,false,,,fixed_effect,Bard;Druid;Sorcerer;Wizard,Xanathar's Guide to Everything,,warding-wind
catnap,2014:catnap,Catnap,2014,3,Enchantment,1 Action,30 feet,"S, M",10 minutes,false,false,,,fixed_effect,Artificer;Bard;Sorcerer;Wizard,Xanathar's Guide to Everything,,catnap
enemies-abound,2014:enemies-abound,Enemies Abound,2014,3,Enchantment,1 Action,120 feet,"V, S","Concentration, up to 1 minute",true,false,,intelligence,saving_throw,Bard;Sorcerer;Warlock;Wizard,Xanathar's Guide to Everything,,enemies-abound
erupting-earth,2014:erupting-earth,Erupting Earth,2014,3,Transmutation,1 Action,120 feet,"V, S, M",Instantaneous,false,false,,dexterity,saving_throw,Druid;Sorcerer;Wizard,Xanathar's Guide to Everything;Elemental Evil Player's Companion,,erupting-earth
flame-arrows,2014:flame-arrows,Flame Arrows,2014,3,Transmutation,1 Action,Touch,"V, S","Concentration, up to 1 hour",true,false,,,fixed_effect,Druid;Ranger;Sorcerer;Wizard;Artificer,Xanathar's Guide to Everything,,flame-arrows
life-transference,2014:life-transference,Life Transference,2014,3,Necromancy,1 Action,30 feet,"V, S",Instantaneous,false,false,,,fixed_effect,Cleric;Wizard,Xanathar's Guide to Everything,,life-transference
melf-s-minute-meteors,2014:melf-s-minute-meteors,Melf's Minute Meteors,2014,3,Evocation,1 Action,Self (120 feet),"V, S, M","Concentration, up to 10 minutes",true,false,,dexterity,saving_throw,Sorcerer;Wizard,Xanathar's Guide to Everything,,melfs-minute-meteors
summon-lesser-demons,2014:summon-lesser-demons,Summon Lesser Demons,2014,3,Conjuration,1 Action,60 Feet,"V, S, M","Concentration, up to 1 hour",true,false,,,fixed_effect,Warlock;Wizard,Xanathar's Guide to Everything,,summon-lesser-demons
thunder-step,2014:thunder-step,Thunder Step,2014,3,Conjuration,1 Action,90 feet,V,Instantaneous,false,false,,constitution,saving_throw,Sorcerer;Warlock;Wizard,Xanathar's Guide to Everything,,thunder-step
tidal-wave,2014:tidal-wave,Tidal Wave,2014,3,Conjuration,1 Action,120 feet,"V, S, M",Instantaneous,false,false,,dexterity,saving_throw,Druid;Sorcerer;Wizard,Xanathar's Guide to Everything,,tidal-wave
tiny-servant,2014:tiny-servant,Tiny Servant,2014,3,Transmutation,1 Minute,Touch,"V, S",8 hours,false,false,,,fixed_effect,Wizard;Artificer,Xanathar's Guide to Everything,,tiny-servant
wall-of-sand,2014:wall-of-sand,Wall of Sand,2014,3,Evocation,1 Action,90 feet,"V, S, M","Concentration, up to 10 minutes",true,false,,,fixed_effect,Wizard,Xanathar's Guide to Everything,,wall-of-sand
wall-of-water,2014:wall-of-water,Wall of Water,2014,3,Evocation,1 Action,60 feet,"V, S, M","Concentration, up to 10 minutes",true,false,,,fixed_effect,Druid;Sorcerer;Wizard,Xanathar's Guide to Everything,,wall-of-water
charm-monster,2014:charm-monster,Charm Monster,2014,4,Enchantment,1 Action,30 feet,"V, S",1 hour,false,false,,wisdom,saving_throw,Bard;Druid;Sorcerer;Warlock;Wizard,Xanathar's Guide to Everything,,charm-monster
elemental-bane,2014:elemental-bane,Elemental Bane,2014,4,Transmutation,1 Action,90 feet,"V, S","Concentration, up to 1 minute",true,false,,constitution,saving_throw,Druid;Warlock;Wizard;Artificer,Xanathar's Guide to Everything,,elemental-bane
find-greater-steed,2014:find-greater-steed,Find Greater Steed,2014,4,Conjuration,10 Minutes,30 feet,"V, S",Instantaneous,false,false,,,fixed_effect,Paladin,Xanathar's Guide to Everything,,find-greater-steed
guardian-of-nature,2014:guardian-of-nature,Guardian of Nature,2014,4,Transmutation,1 Bonus Action,Self,V,"Concentration, up to 1 minute",true,false,,,fixed_effect,Druid;Ranger,Xanathar's Guide to Everything,,guardian-of-nature
shadow-of-moil,2014:shadow-of-moil,Shadow Of Moil,2014,4,Necromancy,1 Action,Self,"V, S, M","Concentration, up to 1 minute",true,false,,,fixed_effect,Warlock,Xanathar's Guide to Everything,,shadow-of-moil
sickening-radiance,2014:sickening-radiance,Sickening Radiance,2014,4,Evocation,1 Action,120 Feet,"V, S","Concentration, up to 10 minutes",true,false,,constitution,saving_throw,Sorcerer;Warlock;Wizard,Xanathar's Guide to Everything,,sickening-radiance
storm-sphere,2014:storm-sphere,Storm Sphere,2014,4,Evocation,1 Action,150 feet,"V, S","Concentration, up to 1 minute",true,false,ranged_spell,strength,mixed,Sorcerer;Wizard,Xanathar's Guide to Everything,,storm-sphere
summon-greater-demon,2014:summon-greater-demon,Summon Greater Demon,2014,4,Conjuration,1 Action,60 Feet,"V, S, M","Concentration, up to 1 hour",true,false,,charisma,saving_throw,Warlock (Optional);Wizard,Xanathar's Guide to Everything,,summon-greater-demon
vitriolic-sphere,2014:vitriolic-sphere,Vitriolic Sphere,2014,4,Evocation,1 Action,150 feet,"V, S, M",Instantaneous,false,false,,dexterity,saving_throw,Sorcerer;Wizard,Xanathar's Guide to Everything,,vitriolic-sphere
watery-sphere,2014:watery-sphere,Watery Sphere,2014,4,Conjuration,1 Action,90 feet,"V, S, M","Concentration, up to 1 minute",true,false,,strength,saving_throw,Druid;Sorcerer;Wizard,Xanathar's Guide to Everything,,watery-sphere
control-winds,2014:control-winds,Control Winds,2014,5,Transmutation,1 Action,300 feet,"V, S","Concentration, up to 1 hour",true,false,,strength,saving_throw,Druid;Sorcerer;Wizard,Xanathar's Guide to Everything,,control-winds
danse-macabre,2014:danse-macabre,Danse Macabre,2014,5,Necromancy,1 Action,60 Feet,"V, S","Concentration, up to 1 hour",true,false,,,modifier_scaled,Warlock;Wizard,Xanathar's Guide to Everything,,danse-macabre
dawn,2014:dawn,Dawn,2014,5,Evocation,1 Action,60 Feet,"V, S, M","Concentration, up to 1 minute",true,false,,constitution,saving_throw,Cleric;Wizard,Xanathar's Guide to Everything,,dawn
enervation,2014:enervation,Enervation,2014,5,Necromancy,1 Action,60 feet,"V, S","Concentration, up to 1 minute",true,false,,dexterity,saving_throw,Sorcerer;Warlock;Wizard,Xanathar's Guide to Everything,,enervation
far-step,2014:far-step,Far Step,2014,5,Conjuration,1 Bonus Action,Self,V,"Concentration, up to 1 minute",true,false,,,fixed_effect,Sorcerer;Warlock;Wizard,Xanathar's Guide to Everything,,far-step
holy-weapon,2014:holy-weapon,Holy Weapon,2014,5,Evocation,1 Bonus Action,Touch,"V, S","Concentration, up to 1 hour",true,false,,constitution,saving_throw,Cleric;Paladin,Xanathar's Guide to Everything,,holy-weapon
immolation,2014:immolation,Immolation,2014,5,Evocation,1 Action,90 feet,V,"Concentration, up to 1 minute",true,false,,dexterity,saving_throw,Sorcerer;Wizard,Xanathar's Guide to Everything,,immolation
infernal-calling,2014:infernal-calling,Infernal Calling,2014,5,Conjuration,1 Minute,90 feet,"V, S, M","Concentration, up to 1 hour",true,false,,,fixed_effect,Warlock;Wizard,Xanathar's Guide to Everything,,infernal-calling
maelstrom,2014:maelstrom,Maelstrom,2014,5,Evocation,1 Action,120 feet,"V, S, M","Concentration, up to 1 minute",true,false,,strength,saving_throw,Druid,Xanathar's Guide to Everything,,maelstrom
negative-energy-flood,2014:negative-energy-flood,Negative Energy Flood,2014,5,Necromancy,1 Action,60 feet,"V, M",Instantaneous,false,false,,constitution,saving_throw,Warlock;Wizard,Xanathar's Guide to Everything,,negative-energy-flood
skill-empowerment,2014:skill-empowerment,Skill Empowerment,2014,5,Transmutation,1 Action,Touch,"V, S","Concentration, up to 1 hour",true,false,,,fixed_effect,Bard;Sorcerer;Wizard;Artificer,Xanathar's Guide to Everything,,skill-empowerment
steel-wind-strike,2014:steel-wind-strike,Steel Wind Strike,2014,5,Conjuration,1 Action,30 feet,"S, M",Instantaneous,false,false,melee_spell,,attack_roll,Ranger;Wizard,Xanathar's Guide to Everything,,steel-wind-strike
synaptic-static,2014:synaptic-static,Synaptic Static,2014,5,Enchantment,1 Action,120 feet,"V, S",Instantaneous,false,false,,intelligence;constitution,saving_throw,Bard;Sorcerer;Warlock;Wizard,Xanathar's Guide to Everything,,synaptic-static
transmute-rock,2014:transmute-rock,Transmute Rock,2014,5,Transmutation,1 Action,120 feet,"V, S, M",Instantaneous,false,false,,strength;dexterity,saving_throw,Druid;Wizard;Artificer,Xanathar's Guide to Everything,,transmute-rock
wall-of-light,2014:wall-of-light,Wall of Light,2014,5,Evocation,1 Action,120 feet,"V, S, M","Concentration, up to 10 minutes",true,false,ranged_spell,constitution,mixed,Sorcerer;Warlock;Wizard,Xanathar's Guide to Everything,,wall-of-light
wrath-of-nature,2014:wrath-of-nature,Wrath Of Nature,2014,5,Evocation,1 Action,120 feet,"V, S","Concentration, up to 1 minute",true,false,ranged_spell,dexterity;strength,mixed,Druid;Ranger,Xanathar's Guide to Everything,,wrath-of-nature
bones-of-the-earth,2014:bones-of-the-earth,Bones of the Earth,2014,6,Transmutation,1 Action,120 feet,"V, S",Instantaneous,false,false,,dexterity,saving_throw,Druid,Xanathar's Guide to Everything,,bones-of-the-earth
create-homunculus,2014:create-homunculus,Create Homunculus,2014,6,Transmutation,1 Hour,120 feet,"V, S, M",Instantaneous,false,false,,,fixed_effect,Wizard,Xanathar's Guide to Everything,,create-homunculus
druid-grove,2014:druid-grove,Druid Grove,2014,6,Abjuration,10 Minutes,Touch,"V, S, M",24 hours,false,false,,,fixed_effect,Druid,Xanathar's Guide to Everything,,druid-grove
investiture-of-flame,2014:investiture-of-flame,Investiture of Flame,2014,6,Transmutation,1 Action,Self,"V, S","Concentration, up to 10 minutes",true,false,,dexterity,saving_throw,Druid;Sorcerer;Warlock;Wizard,Xanathar's Guide to Everything,,investiture-of-flame
investiture-of-ice,2014:investiture-of-ice,Investiture of Ice,2014,6,Transmutation,1 Action,Self,"V, S","Concentration, up to 10 minutes",true,false,,constitution,saving_throw,Druid;Sorcerer;Warlock;Wizard,Xanathar's Guide to Everything,,investiture-of-ice
investiture-of-stone,2014:investiture-of-stone,Investiture of Stone,2014,6,Transmutation,1 Action,Self,"V, S","Concentration, up to 10 minutes",true,false,,dexterity,saving_throw,Druid;Sorcerer;Warlock;Wizard,Xanathar's Guide to Everything,,investiture-of-stone
investiture-of-wind,2014:investiture-of-wind,Investiture of Wind,2014,6,Transmutation,1 Action,Self,"V, S","Concentration, up to 10 minutes",true,false,,constitution,saving_throw,Druid;Sorcerer;Warlock;Wizard,Xanathar's Guide to Everything,,investiture-of-wind
mental-prison,2014:mental-prison,Mental Prison,2014,6,Illusion,1 Action,60 feet,S,"Concentration, up to 1 minute",true,false,,intelligence,saving_throw,Sorcerer;Warlock;Wizard,Xanathar's Guide to Everything,,mental-prison
primordial-ward,2014:primordial-ward,Primordial Ward,2014,6,Abjuration,1 Action,Self,"V, S","Concentration, up to 1 minute",true,false,,,fixed_effect,Druid,Xanathar's Guide to Everything,,primordial-ward
scatter,2014:scatter,Scatter,2014,6,Conjuration,1 Action,30 feet,V,Instantaneous,false,false,,wisdom,saving_throw,Sorcerer;Warlock;Wizard,Xanathar's Guide to Everything,,scatter
soul-cage,2014:soul-cage,Soul Cage,2014,6,Necromancy,Special,60 feet,"V, S, M",8 hours,false,false,,,fixed_effect,Warlock;Wizard,Xanathar's Guide to Everything,,soul-cage
tenser-s-transformation,2014:tenser-s-transformation,Tenser's Transformation,2014,6,Transmutation,1 Action,Self,"V, S, M","Concentration, up to 10 minutes",true,false,,constitution,saving_throw,Wizard,Xanathar's Guide to Everything,,tensers-transformation
crown-of-stars,2014:crown-of-stars,Crown of Stars,2014,7,Evocation,1 Action,Self,"V, S",1 hour,false,false,ranged_spell,,attack_roll,Sorcerer;Warlock;Wizard,Xanathar's Guide to Everything,,crown-of-stars
power-word-pain,2014:power-word-pain,Power Word: Pain,2014,7,Enchantment,1 Action,60 feet,V,Instantaneous,false,false,,constitution,saving_throw,Sorcerer;Warlock;Wizard,Xanathar's Guide to Everything,,power-word-pain
temple-of-the-gods,2014:temple-of-the-gods,Temple of the Gods,2014,7,Conjuration,1 hour,120 feet,"V, S, M",24 hours,false,false,,charisma,saving_throw,Cleric,Xanathar's Guide to Everything,,temple-of-the-gods
whirlwind,2014:whirlwind,Whirlwind,2014,7,Evocation,1 Action,300 feet,"V, M","Concentration, up to 1 minute",true,false,,dexterity;strength,saving_throw,Druid;Wizard,Xanathar's Guide to Everything,,whirlwind
abi-dalzim-s-horrid-wilting,2014:abi-dalzim-s-horrid-wilting,Abi-Dalzim's Horrid Wilting,2014,8,Necromancy,1 Action,150 feet,"V, S, M",Instantaneous,false,false,,constitution,saving_throw,Sorcerer;Wizard,Xanathar's Guide to Everything,,abi-dalzims-horrid-wilting
illusory-dragon,2014:illusory-dragon,Illusory Dragon,2014,8,Illusion,1 Action,120 feet,S,"Concentration, up to 1 minute",true,false,,wisdom;intelligence,saving_throw,Wizard,Xanathar's Guide to Everything,,illusory-dragon
maddening-darkness,2014:maddening-darkness,Maddening Darkness,2014,8,Evocation,1 Action,150 feet,"V, M","Concentration, up to 10 minutes",true,false,,wisdom,saving_throw,Warlock;Wizard,Xanathar's Guide to Everything,,maddening-darkness
mighty-fortress,2014:mighty-fortress,Mighty Fortress,2014,8,Conjuration,1 Minute,1 mile,"V, S, M",Instantaneous,false,false,,,fixed_effect,Wizard,Xanathar's Guide to Everything,,mighty-fortress
invulnerability,2014:invulnerability,Invulnerability,2014,9,Abjuration,1 Action,Self,"V, S, M","Concentration, up to 10 minutes",true,false,,,fixed_effect,Wizard,Xanathar's Guide to Everything,,invulnerability
mass-polymorph,2014:mass-polymorph,Mass Polymorph,2014,9,Transmutation,1 Action,120 feet,"V, S, M","Concentration, up to 1 hour",true,false,,wisdom,saving_throw,Bard;Sorcerer;Wizard,Xanathar's Guide to Everything,,mass-polymorph
psychic-scream,2014:psychic-scream,Psychic Scream,2014,9,Enchantment,1 Action,90 feet,S,Instantaneous,false,false,,intelligence,saving_throw,Bard;Sorcerer;Warlock;Wizard,Xanathar's Guide to Everything,,psychic-scream
